"observable","method","value","error"
"energy","Gravity",0.221,0.003
"Polyak","Gravity",NA,NA
"s_trx2","Gravity",NA,NA
"Polyak","Linear da",0.621571943735347,0.00597897608113755
"Polyak","Linear nls",0.621571943735348,0.0100466358606625
"Polyak","Quadratic",0.612365287262829,0.0144183429466585
"energy","Linear da",0.225355302193432,0.0117278430118562
"energy","Linear nls",0.225355302193433,0.0124707327334825
"energy","Quadratic",0.227571548431011,0.0113067454122881
"s_trx2","Linear da",0.357053170485348,0.000791270207651582
"s_trx2","Linear nls",0.357053170485348,0.00112778498367554
"s_trx2","Quadratic",0.359178813129552,0.00123952722119008
